Test,Executor,Timing (s)
adi,native,0.424173
adi,native,0.425985
adi,native,0.425391
adi,native,0.424088
adi,native,0.427577
adi,native,0.422745
adi,native,0.422589
adi,native,0.424167
adi,native,0.425252
adi,native,0.423734
adi,vWasm,3.180453
adi,vWasm,3.176569
adi,vWasm,3.175293
adi,vWasm,3.182804
adi,vWasm,3.193984
adi,vWasm,3.186973
adi,vWasm,3.186592
adi,vWasm,3.187299
adi,vWasm,3.189091
adi,vWasm,3.186727
adi,vWasm-O0,3.18357
adi,vWasm-O0,3.180758
adi,vWasm-O0,3.172994
adi,vWasm-O0,3.17901
adi,vWasm-O0,3.175039
adi,vWasm-O0,3.1732839999999998
adi,vWasm-O0,3.223096
adi,vWasm-O0,3.192619
adi,vWasm-O0,3.178728
adi,vWasm-O0,3.167808
adi,vWasm-nosbx,3.160015
adi,vWasm-nosbx,3.162474
adi,vWasm-nosbx,3.157899
adi,vWasm-nosbx,3.164456
adi,vWasm-nosbx,3.168532
adi,vWasm-nosbx,3.166488
adi,vWasm-nosbx,3.167675
adi,vWasm-nosbx,3.172259
adi,vWasm-nosbx,3.172135
adi,vWasm-nosbx,3.165864
adi,vWasm-nopeep,3.183137
adi,vWasm-nopeep,3.17329
adi,vWasm-nopeep,3.166237
adi,vWasm-nopeep,3.181728
adi,vWasm-nopeep,3.183698
adi,vWasm-nopeep,3.165831
adi,vWasm-nopeep,3.183758
adi,vWasm-nopeep,3.184723
adi,vWasm-nopeep,3.18462
adi,vWasm-nopeep,3.166177
adi,vWasm-nopeep-nosbx,3.147408
adi,vWasm-nopeep-nosbx,3.141886
adi,vWasm-nopeep-nosbx,3.144127
adi,vWasm-nopeep-nosbx,3.147186
adi,vWasm-nopeep-nosbx,3.148148
adi,vWasm-nopeep-nosbx,3.158093
adi,vWasm-nopeep-nosbx,3.15722
adi,vWasm-nopeep-nosbx,3.148416
adi,vWasm-nopeep-nosbx,3.148457
adi,vWasm-nopeep-nosbx,3.146055
atax,rWasm,0.033706
atax,rWasm,0.034122
atax,rWasm,0.033724
atax,rWasm,0.03375
atax,rWasm,0.033996
atax,rWasm,0.034121
atax,rWasm,0.034343
atax,rWasm,0.034296
atax,rWasm,0.034185
atax,rWasm,0.034848
atax,rWasm,0.034307
atax,rWasm,0.034177
atax,rWasm,0.034203
atax,rWasm,0.034916
atax,rWasm,0.033822
atax,rWasm,0.033887
