Test,Executor,Timing (s)
jacobi-1d-imper,wavm-precompiled,0.001037
jacobi-1d-imper,wavm-precompiled,0.001046
jacobi-1d-imper,wavm-precompiled,0.001031999
jacobi-1d-imper,wavm-precompiled,0.001059
jacobi-1d-imper,wavm-precompiled,0.001066
jacobi-1d-imper,wavm-precompiled,0.00103
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001049
jacobi-1d-imper,wavm-precompiled,0.001044
jacobi-1d-imper,wavm-precompiled,0.001046
jacobi-1d-imper,wavm-precompiled,0.001071
jacobi-1d-imper,wavm-precompiled,0.001054
jacobi-1d-imper,wavm-precompiled,0.00111
jacobi-1d-imper,wavm-precompiled,0.001093
jacobi-1d-imper,wavm-precompiled,0.001056
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wavm-precompiled,0.001071
jacobi-1d-imper,wavm-precompiled,0.001065
jacobi-1d-imper,wavm-precompiled,0.001085
jacobi-1d-imper,wavm-precompiled,0.001053
jacobi-1d-imper,wavm-precompiled,0.001037
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.001034
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.00105
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001054
jacobi-1d-imper,wavm-precompiled,0.001059
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001029
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001066
jacobi-1d-imper,wavm-precompiled,0.001025
jacobi-1d-imper,wavm-precompiled,0.001039999
jacobi-1d-imper,wavm-precompiled,0.001034
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wavm-precompiled,0.001065
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.001031
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wavm-precompiled,0.001029
jacobi-1d-imper,wavm-precompiled,0.001057
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001053
jacobi-1d-imper,wavm-precompiled,0.001036
jacobi-1d-imper,wavm-precompiled,0.001055
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.001051
jacobi-1d-imper,wavm-precompiled,0.00106
jacobi-1d-imper,wavm-precompiled,0.00105
jacobi-1d-imper,wavm-precompiled,0.001078
jacobi-1d-imper,wavm-precompiled,0.001072
jacobi-1d-imper,wavm-precompiled,0.001056
jacobi-1d-imper,wavm-precompiled,0.001062
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001058
jacobi-1d-imper,wavm-precompiled,0.00105
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001034
jacobi-1d-imper,wavm-precompiled,0.001024
jacobi-1d-imper,wavm-precompiled,0.001062
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001046
jacobi-1d-imper,wavm-precompiled,0.001026
jacobi-1d-imper,wavm-precompiled,0.001031999
jacobi-1d-imper,wavm-precompiled,0.001037
jacobi-1d-imper,wavm-precompiled,0.00103
jacobi-1d-imper,wavm-precompiled,0.001063
jacobi-1d-imper,wavm-precompiled,0.001024
jacobi-1d-imper,wavm-precompiled,0.001026999
jacobi-1d-imper,wavm-precompiled,0.001031
jacobi-1d-imper,wavm-precompiled,0.001046
jacobi-1d-imper,wavm-precompiled,0.001031
jacobi-1d-imper,wavm-precompiled,0.001054
jacobi-1d-imper,wavm-precompiled,0.001059
jacobi-1d-imper,wavm-precompiled,0.001076
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.00102
jacobi-1d-imper,wavm-precompiled,0.001038
jacobi-1d-imper,wavm-precompiled,0.001075
jacobi-1d-imper,wavm-precompiled,0.001047
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wavm-precompiled,0.001071
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001061
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.001055
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001047
jacobi-1d-imper,wavm-precompiled,0.001047
jacobi-1d-imper,wavm-precompiled,0.001095
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.001073
jacobi-1d-imper,wavm-precompiled,0.001058
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001057
jacobi-1d-imper,wavm-precompiled,0.001051
jacobi-1d-imper,wavm-precompiled,0.001031
jacobi-1d-imper,wavm-precompiled,0.001029
jacobi-1d-imper,wavm-precompiled,0.00103
jacobi-1d-imper,wavm-precompiled,0.001044
jacobi-1d-imper,wavm-precompiled,0.001044
jacobi-1d-imper,wavm-precompiled,0.00106
jacobi-1d-imper,wavm-precompiled,0.001029
jacobi-1d-imper,wavm-precompiled,0.001026
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001031999
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.00105
jacobi-1d-imper,wavm-precompiled,0.001044
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001056
jacobi-1d-imper,wavm-precompiled,0.001024
jacobi-1d-imper,wavm-precompiled,0.001029
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.001051
jacobi-1d-imper,wavm-precompiled,0.001049
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001026
jacobi-1d-imper,wavm-precompiled,0.001044
jacobi-1d-imper,wavm-precompiled,0.001038
jacobi-1d-imper,wavm-precompiled,0.001051
jacobi-1d-imper,wavm-precompiled,0.001024
jacobi-1d-imper,wavm-precompiled,0.001026999
jacobi-1d-imper,wavm-precompiled,0.001051
jacobi-1d-imper,wavm-precompiled,0.00107
jacobi-1d-imper,wavm-precompiled,0.001092
jacobi-1d-imper,wavm-precompiled,0.001092
jacobi-1d-imper,wavm-precompiled,0.001049
jacobi-1d-imper,wavm-precompiled,0.001038
jacobi-1d-imper,wavm-precompiled,0.001091
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001046
jacobi-1d-imper,wavm-precompiled,0.00106
jacobi-1d-imper,wavm-precompiled,0.001072
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wavm-precompiled,0.001024
jacobi-1d-imper,wavm-precompiled,0.001021
jacobi-1d-imper,wavm-precompiled,0.00107
jacobi-1d-imper,wavm-precompiled,0.00103
jacobi-1d-imper,wavm-precompiled,0.001018999
jacobi-1d-imper,wavm-precompiled,0.001038
jacobi-1d-imper,wavm-precompiled,0.001054
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001036
jacobi-1d-imper,wavm-precompiled,0.001037
jacobi-1d-imper,wavm-precompiled,0.001031
jacobi-1d-imper,wavm-precompiled,0.001085
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001059
jacobi-1d-imper,wavm-precompiled,0.001031
jacobi-1d-imper,wavm-precompiled,0.001048
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001039999
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001316
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wavm-precompiled,0.001033
jacobi-1d-imper,wavm-precompiled,0.001074
jacobi-1d-imper,wavm-precompiled,0.00106
jacobi-1d-imper,wavm-precompiled,0.001042
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001063
jacobi-1d-imper,wavm-precompiled,0.001255
jacobi-1d-imper,wavm-precompiled,0.001091
jacobi-1d-imper,wavm-precompiled,0.001083
jacobi-1d-imper,wavm-precompiled,0.001103
jacobi-1d-imper,wavm-precompiled,0.001094
jacobi-1d-imper,wavm-precompiled,0.001097
jacobi-1d-imper,wavm-precompiled,0.001065
jacobi-1d-imper,wavm-precompiled,0.001059
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.001089
jacobi-1d-imper,wavm-precompiled,0.001086
jacobi-1d-imper,wavm-precompiled,0.001078
jacobi-1d-imper,wavm-precompiled,0.001056
jacobi-1d-imper,wavm-precompiled,0.001061
jacobi-1d-imper,wavm-precompiled,0.001076
jacobi-1d-imper,wavm-precompiled,0.00108
jacobi-1d-imper,wavm-precompiled,0.001064
jacobi-1d-imper,wavm-precompiled,0.001113
jacobi-1d-imper,wavm-precompiled,0.001069
jacobi-1d-imper,wavm-precompiled,0.001086
jacobi-1d-imper,wavm-precompiled,0.001065
jacobi-1d-imper,wavm-precompiled,0.00114
jacobi-1d-imper,wavm-precompiled,0.001048
jacobi-1d-imper,wavm-precompiled,0.001036
jacobi-1d-imper,wavm-precompiled,0.001053
jacobi-1d-imper,wavm-precompiled,0.001057
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.001047
jacobi-1d-imper,wavm-precompiled,0.001046
jacobi-1d-imper,wavm-precompiled,0.001043
jacobi-1d-imper,wavm-precompiled,0.001047
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wavm-precompiled,0.001065
jacobi-1d-imper,wavm-precompiled,0.00103
jacobi-1d-imper,wavm-precompiled,0.001026999
jacobi-1d-imper,wavm-precompiled,0.001042
jacobi-1d-imper,wavm-precompiled,0.001038
jacobi-1d-imper,wavm-precompiled,0.00103
jacobi-1d-imper,wavm-precompiled,0.001056
jacobi-1d-imper,wavm-precompiled,0.001037
jacobi-1d-imper,wavm-precompiled,0.001057
jacobi-1d-imper,wavm-precompiled,0.001064
jacobi-1d-imper,wavm-precompiled,0.001159
jacobi-1d-imper,wavm-precompiled,0.00109
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.001044999
jacobi-1d-imper,wavm-precompiled,0.001023
jacobi-1d-imper,wavm-precompiled,0.00106
jacobi-1d-imper,wavm-precompiled,0.001049
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001016
jacobi-1d-imper,wavm-precompiled,0.001025
jacobi-1d-imper,wavm-precompiled,0.001028
jacobi-1d-imper,wavm-precompiled,0.001044
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001026
jacobi-1d-imper,wavm-precompiled,0.001068
jacobi-1d-imper,wavm-precompiled,0.001063
jacobi-1d-imper,wavm-precompiled,0.001026999
jacobi-1d-imper,wavm-precompiled,0.00105
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001029
jacobi-1d-imper,wavm-precompiled,0.001043
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001073
jacobi-1d-imper,wavm-precompiled,0.001034999
jacobi-1d-imper,wavm-precompiled,0.001036
jacobi-1d-imper,wavm-precompiled,0.001025
jacobi-1d-imper,wavm-precompiled,0.001021999
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.001029
jacobi-1d-imper,wavm-precompiled,0.001039
jacobi-1d-imper,wavm-precompiled,0.001059
jacobi-1d-imper,wavm-precompiled,0.001067
jacobi-1d-imper,wavm-precompiled,0.001055
jacobi-1d-imper,wavm-precompiled,0.001037
jacobi-1d-imper,wavm-precompiled,0.001026
jacobi-1d-imper,wavm-precompiled,0.001025
jacobi-1d-imper,wavm-precompiled,0.001051
jacobi-1d-imper,wavm-precompiled,0.001044
jacobi-1d-imper,wavm-precompiled,0.001052
jacobi-1d-imper,wavm-precompiled,0.00106
jacobi-1d-imper,wavm-precompiled,0.001056
jacobi-1d-imper,wavm-precompiled,0.001065
jacobi-1d-imper,wavm-precompiled,0.001047
jacobi-1d-imper,wavm-precompiled,0.001041
jacobi-1d-imper,wasm3,0.037
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038999
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.037999
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.037999
jacobi-1d-imper,wasm3,0.038998
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.043998
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.039004
jacobi-1d-imper,wasm3,0.037999
jacobi-1d-imper,wasm3,0.038999
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038999
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.037999
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.037999
jacobi-1d-imper,wasm3,0.039001
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038999
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.037997
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.037996
jacobi-1d-imper,wasm3,0.038999
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038999
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.037
jacobi-1d-imper,wasm3,0.037998
jacobi-1d-imper,wasm3,0.038999
jacobi-1d-imper,wasm3,0.038996
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.039003
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,wasm3,0.038003
jacobi-1d-imper,wasm3,0.039003
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.039
jacobi-1d-imper,wasm3,0.038002
jacobi-1d-imper,wasm3,0.038
jacobi-1d-imper,WAMR-interpreter,0.023708
jacobi-1d-imper,WAMR-interpreter,0.02373
jacobi-1d-imper,WAMR-interpreter,0.023789
jacobi-1d-imper,WAMR-interpreter,0.023746
jacobi-1d-imper,WAMR-interpreter,0.023723
jacobi-1d-imper,WAMR-interpreter,0.023715
jacobi-1d-imper,WAMR-interpreter,0.023798
jacobi-1d-imper,WAMR-interpreter,0.023841
jacobi-1d-imper,WAMR-interpreter,0.023766
jacobi-1d-imper,WAMR-interpreter,0.023797
jacobi-1d-imper,WAMR-interpreter,0.023824
jacobi-1d-imper,WAMR-interpreter,0.024145
jacobi-1d-imper,WAMR-interpreter,0.024178
jacobi-1d-imper,WAMR-interpreter,0.024048
jacobi-1d-imper,WAMR-interpreter,0.023878
jacobi-1d-imper,WAMR-interpreter,0.023844
jacobi-1d-imper,WAMR-interpreter,0.023799
jacobi-1d-imper,WAMR-interpreter,0.023771
jacobi-1d-imper,WAMR-interpreter,0.023949
jacobi-1d-imper,WAMR-interpreter,0.023949
jacobi-1d-imper,WAMR-interpreter,0.024054
jacobi-1d-imper,WAMR-interpreter,0.024084
jacobi-1d-imper,WAMR-interpreter,0.024015
jacobi-1d-imper,WAMR-interpreter,0.023979
jacobi-1d-imper,WAMR-interpreter,0.024041
jacobi-1d-imper,WAMR-interpreter,0.024
jacobi-1d-imper,WAMR-interpreter,0.023692
jacobi-1d-imper,WAMR-interpreter,0.024137
jacobi-1d-imper,WAMR-interpreter,0.024163
jacobi-1d-imper,WAMR-interpreter,0.024105
jacobi-1d-imper,WAMR-interpreter,0.023882
jacobi-1d-imper,WAMR-interpreter,0.023844
jacobi-1d-imper,WAMR-interpreter,0.023777
jacobi-1d-imper,WAMR-interpreter,0.023719
jacobi-1d-imper,WAMR-interpreter,0.023893
jacobi-1d-imper,WAMR-interpreter,0.02388
jacobi-1d-imper,WAMR-interpreter,0.023845
jacobi-1d-imper,WAMR-interpreter,0.023843
jacobi-1d-imper,WAMR-interpreter,0.023849
jacobi-1d-imper,WAMR-interpreter,0.025134
jacobi-1d-imper,WAMR-interpreter,0.02377
jacobi-1d-imper,WAMR-interpreter,0.023811
jacobi-1d-imper,WAMR-interpreter,0.023772
jacobi-1d-imper,WAMR-interpreter,0.023916
jacobi-1d-imper,WAMR-interpreter,0.024124
jacobi-1d-imper,WAMR-interpreter,0.024161
jacobi-1d-imper,WAMR-interpreter,0.024144
jacobi-1d-imper,WAMR-interpreter,0.024094
jacobi-1d-imper,WAMR-interpreter,0.024068
jacobi-1d-imper,WAMR-interpreter,0.024056
jacobi-1d-imper,WAMR-interpreter,0.02412
jacobi-1d-imper,WAMR-interpreter,0.024101
jacobi-1d-imper,WAMR-interpreter,0.023872
jacobi-1d-imper,WAMR-interpreter,0.023872
jacobi-1d-imper,WAMR-interpreter,0.023822
jacobi-1d-imper,WAMR-interpreter,0.023759
jacobi-1d-imper,WAMR-interpreter,0.023834
jacobi-1d-imper,WAMR-interpreter,0.023841
jacobi-1d-imper,WAMR-interpreter,0.023806
jacobi-1d-imper,WAMR-interpreter,0.023885
jacobi-1d-imper,WAMR-interpreter,0.024108
jacobi-1d-imper,WAMR-interpreter,0.024171
jacobi-1d-imper,WAMR-interpreter,0.023904
jacobi-1d-imper,WAMR-interpreter,0.023922
jacobi-1d-imper,WAMR-interpreter,0.023909
jacobi-1d-imper,WAMR-interpreter,0.023861
jacobi-1d-imper,WAMR-interpreter,0.023859
jacobi-1d-imper,WAMR-interpreter,0.023848
jacobi-1d-imper,WAMR-interpreter,0.023796
jacobi-1d-imper,WAMR-interpreter,0.023924
jacobi-1d-imper,WAMR-interpreter,0.024005
jacobi-1d-imper,WAMR-interpreter,0.023885
jacobi-1d-imper,WAMR-interpreter,0.023903
jacobi-1d-imper,WAMR-interpreter,0.023869
jacobi-1d-imper,WAMR-interpreter,0.02389
jacobi-1d-imper,WAMR-interpreter,0.023824
jacobi-1d-imper,WAMR-interpreter,0.024109
jacobi-1d-imper,WAMR-interpreter,0.024124
jacobi-1d-imper,WAMR-interpreter,0.02411
jacobi-1d-imper,WAMR-interpreter,0.023915
jacobi-1d-imper,WAMR-interpreter,0.023899
jacobi-1d-imper,WAMR-interpreter,0.023877
jacobi-1d-imper,WAMR-interpreter,0.023947
jacobi-1d-imper,WAMR-interpreter,0.023822
jacobi-1d-imper,WAMR-interpreter,0.023827
jacobi-1d-imper,WAMR-interpreter,0.023875
jacobi-1d-imper,WAMR-interpreter,0.023867
jacobi-1d-imper,WAMR-interpreter,0.023856
jacobi-1d-imper,WAMR-interpreter,0.023835
jacobi-1d-imper,WAMR-interpreter,0.02384
jacobi-1d-imper,WAMR-interpreter,0.023812
jacobi-1d-imper,WAMR-interpreter,0.023845
jacobi-1d-imper,WAMR-interpreter,0.024055
jacobi-1d-imper,WAMR-interpreter,0.024201
jacobi-1d-imper,WAMR-interpreter,0.024119
jacobi-1d-imper,WAMR-interpreter,0.023853
jacobi-1d-imper,WAMR-interpreter,0.02384
jacobi-1d-imper,WAMR-interpreter,0.023862
jacobi-1d-imper,WAMR-interpreter,0.023849
jacobi-1d-imper,WAMR-interpreter,0.02387
jacobi-1d-imper,WAMR-interpreter,0.023913
jacobi-1d-imper,WAMR-interpreter,0.023885
jacobi-1d-imper,WAMR-interpreter,0.023867
jacobi-1d-imper,WAMR-interpreter,0.023907
jacobi-1d-imper,WAMR-interpreter,0.023814
jacobi-1d-imper,WAMR-compiled-nobounds,0.001136
jacobi-1d-imper,WAMR-compiled-nobounds,0.001151
jacobi-1d-imper,WAMR-compiled-nobounds,0.001142
jacobi-1d-imper,WAMR-compiled-nobounds,0.001131
jacobi-1d-imper,WAMR-compiled-nobounds,0.001138
jacobi-1d-imper,WAMR-compiled-nobounds,0.001151
jacobi-1d-imper,WAMR-compiled-nobounds,0.001151
jacobi-1d-imper,WAMR-compiled-nobounds,0.001141
jacobi-1d-imper,WAMR-compiled-nobounds,0.001151
jacobi-1d-imper,WAMR-compiled-nobounds,0.001137
jacobi-1d-imper,WAMR-compiled-nobounds,0.001187
jacobi-1d-imper,WAMR-compiled-nobounds,0.001144
jacobi-1d-imper,WAMR-compiled-nobounds,0.001143
jacobi-1d-imper,WAMR-compiled-nobounds,0.001134
jacobi-1d-imper,WAMR-compiled-nobounds,0.001173
jacobi-1d-imper,WAMR-compiled-nobounds,0.0024
jacobi-1d-imper,WAMR-compiled-nobounds,0.001143
jacobi-1d-imper,WAMR-compiled-nobounds,0.001149
jacobi-1d-imper,WAMR-compiled-nobounds,0.001173
jacobi-1d-imper,WAMR-compiled-nobounds,0.00223
jacobi-1d-imper,WAMR-compiled-nobounds,0.001143
jacobi-1d-imper,WAMR-compiled-nobounds,0.001126
jacobi-1d-imper,WAMR-compiled-nobounds,0.002382
jacobi-1d-imper,WAMR-compiled-nobounds,0.001151
jacobi-1d-imper,WAMR-compiled-nobounds,0.001152
jacobi-1d-imper,WAMR-compiled-nobounds,0.001162
jacobi-1d-imper,WAMR-compiled-nobounds,0.001157
jacobi-1d-imper,WAMR-compiled-nobounds,0.001158
jacobi-1d-imper,WAMR-compiled-nobounds,0.001175
jacobi-1d-imper,WAMR-compiled-nobounds,0.001158
jacobi-1d-imper,WAMR-compiled-nobounds,0.001159
jacobi-1d-imper,WAMR-compiled-nobounds,0.001176
jacobi-1d-imper,WAMR-compiled-nobounds,0.001171
jacobi-1d-imper,WAMR-compiled-nobounds,0.002436
jacobi-1d-imper,WAMR-compiled-nobounds,0.001152
jacobi-1d-imper,WAMR-compiled-nobounds,0.001162
jacobi-1d-imper,WAMR-compiled-nobounds,0.001165
jacobi-1d-imper,WAMR-compiled-nobounds,0.001169
jacobi-1d-imper,WAMR-compiled-nobounds,0.002417
jacobi-1d-imper,WAMR-compiled-nobounds,0.00114
jacobi-1d-imper,WAMR-compiled-nobounds,0.001127
jacobi-1d-imper,WAMR-compiled-nobounds,0.001142
jacobi-1d-imper,WAMR-compiled-nobounds,0.001148
jacobi-1d-imper,WAMR-compiled-nobounds,0.001145
jacobi-1d-imper,WAMR-compiled-nobounds,0.001152
jacobi-1d-imper,WAMR-compiled-nobounds,0.002269
jacobi-1d-imper,WAMR-compiled-nobounds,0.001134
jacobi-1d-imper,WAMR-compiled-nobounds,0.001157
jacobi-1d-imper,WAMR-compiled-nobounds,0.002254
jacobi-1d-imper,WAMR-compiled-nobounds,0.002351
jacobi-1d-imper,WAMR-compiled-nobounds,0.001156
jacobi-1d-imper,WAMR-compiled-nobounds,0.002273
jacobi-1d-imper,WAMR-compiled-nobounds,0.001146
jacobi-1d-imper,WAMR-compiled-nobounds,0.001137
jacobi-1d-imper,WAMR-compiled-nobounds,0.002237
jacobi-1d-imper,WAMR-compiled-nobounds,0.001203
jacobi-1d-imper,WAMR-compiled-nobounds,0.001157
jacobi-1d-imper,WAMR-compiled-nobounds,0.001152
jacobi-1d-imper,WAMR-compiled-nobounds,0.00114
jacobi-1d-imper,WAMR-compiled-nobounds,0.00116
jacobi-1d-imper,WAMR-compiled-nobounds,0.001156
jacobi-1d-imper,WAMR-compiled-nobounds,0.001141
jacobi-1d-imper,WAMR-compiled-nobounds,0.002376
jacobi-1d-imper,WAMR-compiled-nobounds,0.001328
jacobi-1d-imper,WAMR-compiled-nobounds,0.00236
jacobi-1d-imper,WAMR-compiled-nobounds,0.001141
jacobi-1d-imper,WAMR-compiled-nobounds,0.001137
jacobi-1d-imper,WAMR-compiled-nobounds,0.00118
jacobi-1d-imper,WAMR-compiled-nobounds,0.001147
jacobi-1d-imper,WAMR-compiled-nobounds,0.001146
jacobi-1d-imper,WAMR-compiled-nobounds,0.001139
jacobi-1d-imper,WAMR-compiled-nobounds,0.001179
jacobi-1d-imper,WAMR-compiled-nobounds,0.001144
jacobi-1d-imper,WAMR-compiled-nobounds,0.001141
jacobi-1d-imper,WAMR-compiled-nobounds,0.001143
jacobi-1d-imper,WAMR-compiled-nobounds,0.0012
jacobi-1d-imper,WAMR-compiled-nobounds,0.001143
jacobi-1d-imper,WAMR-compiled-nobounds,0.00115
jacobi-1d-imper,WAMR-compiled-nobounds,0.001149
jacobi-1d-imper,WAMR-compiled-nobounds,0.001139
jacobi-1d-imper,WAMR-compiled-nobounds,0.001145
jacobi-1d-imper,WAMR-compiled-nobounds,0.001168
jacobi-1d-imper,WAMR-compiled-nobounds,0.001142
jacobi-1d-imper,WAMR-compiled-nobounds,0.001149
jacobi-1d-imper,WAMR-compiled-nobounds,0.001146
jacobi-1d-imper,WAMR-compiled-nobounds,0.001141
jacobi-1d-imper,WAMR-compiled-nobounds,0.001151
jacobi-1d-imper,WAMR-compiled-nobounds,0.002229
jacobi-1d-imper,WAMR-compiled-nobounds,0.001142
jacobi-1d-imper,WAMR-compiled-nobounds,0.002238
jacobi-1d-imper,WAMR-compiled-nobounds,0.001141
jacobi-1d-imper,WAMR-compiled-nobounds,0.002247
jacobi-1d-imper,WAMR-compiled-nobounds,0.001158
jacobi-1d-imper,WAMR-compiled-nobounds,0.001153
jacobi-1d-imper,WAMR-compiled-nobounds,0.001137
jacobi-1d-imper,WAMR-compiled-nobounds,0.001201
jacobi-1d-imper,WAMR-compiled-nobounds,0.001136
jacobi-1d-imper,WAMR-compiled-nobounds,0.002356
jacobi-1d-imper,WAMR-compiled-nobounds,0.001133
jacobi-1d-imper,WAMR-compiled-nobounds,0.001193
jacobi-1d-imper,WAMR-compiled-nobounds,0.001127
jacobi-1d-imper,WAMR-compiled-nobounds,0.002352
jacobi-1d-imper,WAMR-compiled-nobounds,0.001134
jacobi-1d-imper,WAMR-compiled-nobounds,0.001155
jacobi-1d-imper,WAMR-compiled-nobounds,0.001136
jacobi-1d-imper,WAMR-compiled-nobounds,0.001153
jacobi-1d-imper,WAMR-compiled-nobounds,0.001136
jacobi-1d-imper,WAMR-compiled-nobounds,0.002302
jacobi-1d-imper,WAMR-compiled-nobounds,0.001152
jacobi-1d-imper,WAMR-compiled-nobounds,0.002218
jacobi-1d-imper,WAMR-compiled-nobounds,0.001127
jacobi-1d-imper,WAMR-compiled-nobounds,0.001148
jacobi-1d-imper,WAMR-compiled-nobounds,0.00118
jacobi-1d-imper,WAMR-compiled-nobounds,0.001141
jacobi-1d-imper,WAMR-compiled-nobounds,0.001138
