Executor,Test,Time (s),Full Compilation
rWasm,3mm,152.167381,True
rWasm,adi,152.6328289,True
rWasm,atax,125.6143575,True
rWasm,bicg,149.9647102,True
rWasm,cholesky,142.5743965,True
rWasm,correlation,148.0406951,True
rWasm,covariance,127.1557151,True
rWasm,doitgen,148.3434119,True
rWasm,durbin,128.188483,True
rWasm,dynprog,125.335127,True
rWasm,fdtd-2d,127.164157,True
rWasm,fdtd-apml,136.6816448,True
rWasm,floyd-warshall,109.7965306,True
rWasm,gemm,127.8473933,True
rWasm,gemver,137.1317714,True
rWasm,gesummv,146.3814162,True
rWasm,gramschmidt,151.2277641,True
rWasm,jacobi-1d-imper,125.2644268,True
rWasm,jacobi-2d-imper,146.5112611,True
rWasm,lu,147.6350345,True
rWasm,ludcmp,151.4040037,True
rWasm,mvt,142.071493,True
rWasm,reg_detect,160.8077001,True
rWasm,seidel-2d,122.244009,True
rWasm,symm,127.0425405,True
rWasm,syr2k,126.1793729,True
rWasm,syrk,130.9946683,True
rWasm,trisolv,122.2499804,True
rWasm,trmm,129.3858266,True
vWasm,2mm,2.46,False
vWasm,3mm,3.26,False
vWasm,adi,2.08,False
vWasm,atax,2.69,False
vWasm,bicg,2.31,False
vWasm,cholesky,2.52,False
vWasm,correlation,2.09,False
vWasm,covariance,2.42,False
vWasm,doitgen,2.09,False
vWasm,durbin,2.06,False
vWasm,dynprog,2.10,False
vWasm,fdtd-2d,2.36,False
vWasm,fdtd-apml,5.35,False
vWasm,floyd-warshall,3.29,False
vWasm,gemm,4.53,False
vWasm,gemver,2.34,False
vWasm,gesummv,3.41,False
vWasm,gramschmidt,2.40,False
vWasm,jacobi-1d-imper,2.71,False
vWasm,jacobi-2d-imper,2.24,False
vWasm,lu,2.55,False
vWasm,ludcmp,2.58,False
vWasm,mvt,2.74,False
vWasm,reg_detect,2.38,False
vWasm,seidel-2d,2.17,False
vWasm,symm,2.22,False
vWasm,syr2k,2.27,False
vWasm,syrk,2.07,False
vWasm,trisolv,2.13,False
vWasm,trmm,2.19,False
rWasm,2mm,1.57,False
rWasm,3mm,1.33,False
rWasm,adi,1.77,False
rWasm,atax,1.29,False
rWasm,bicg,3.66,False
rWasm,cholesky,3.31,False
rWasm,correlation,1.96,False
rWasm,covariance,2.14,False
rWasm,doitgen,1.77,False
rWasm,durbin,1.57,False
rWasm,dynprog,2.70,False
rWasm,fdtd-2d,2.89,False
rWasm,fdtd-apml,1.47,False
rWasm,floyd-warshall,1.78,False
rWasm,gemm,1.60,False
rWasm,gemver,1.52,False
rWasm,gesummv,1.37,False
rWasm,gramschmidt,1.59,False
rWasm,jacobi-1d-imper,1.47,False
rWasm,jacobi-2d-imper,2.75,False
rWasm,lu,2.46,False
rWasm,ludcmp,2.87,False
rWasm,mvt,1.42,False
rWasm,reg_detect,2.85,False
rWasm,seidel-2d,3.41,False
rWasm,symm,2.06,False
rWasm,syr2k,2.71,False
rWasm,syrk,1.32,False
rWasm,trisolv,2.47,False
rWasm,trmm,1.46,False
